CategoryName;ItemId
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_customusernamelabel_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_credentialbundleidacl_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_ignored_kerberos_$typepicker
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_principalname_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_requiretlsforldap_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_sitecode_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_domainrealmmapping_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_performkerberosonly_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_domainrealmmapping_generickey_kerberos_string
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_realm_kerberos
Declarative Device Management (DDM) Software Update;enforcement_detailsurl
Declarative Device Management (DDM) Software Update;enforcement_targetbuildversion
Declarative Device Management (DDM) Software Update;enforcement_targetosversion
Declarative Device Management (DDM) Software Update;enforcement_targetlocaldatetime
Declarative Device Management (DDM) Software Update;enforcement_enforcement
Declarative Device Management (DDM)\ Passcode;passcode_maximumgraceperiodinminutes
Declarative Device Management (DDM)\ Passcode;passcode_maximumpasscodeageindays
Declarative Device Management (DDM)\ Passcode;passcode_requirecomplexpasscode
Declarative Device Management (DDM)\ Passcode;passcode_requirepasscode
Declarative Device Management (DDM)\ Passcode;passcode_passcode
Declarative Device Management (DDM)\ Passcode;passcode_maximuminactivityinminutes
Declarative Device Management (DDM)\ Passcode;passcode_customregex_regex
Declarative Device Management (DDM)\ Passcode;passcode_maximumfailedattempts
Declarative Device Management (DDM)\ Passcode;passcode_requirealphanumericpasscode
Declarative Device Management (DDM)\ Passcode;passcode_passcodereuselimit
Declarative Device Management (DDM)\ Passcode;passcode_customregex_description_generickey
Declarative Device Management (DDM)\ Passcode;passcode_minimumlength
Declarative Device Management (DDM)\ Passcode;passcode_minimumcomplexcharacters
Declarative Device Management (DDM)\ Passcode;passcode_customregex_description_generickey_keytobereplaced
Declarative Device Management (DDM)\ Passcode;passcode_customregex_description
Managed Devices > Profile Removal Password;com.apple.profileremovalpassword_removalpassword
Managed Devices > Profile Removal Password;com.apple.profileremovalpassword_com.apple.profileremovalpassword
Managed Settings Bluetooth;settings_item_bluetooth_enabled
Managed Settings Bluetooth;settings_item_bluetooth
Managed Settings MDM Options;settings_item_mdmoptions
Managed Settings MDM Options;settings_item_mdmoptions_mdmoptions_activationlockallowedwhilesupervised
